"Gift Card "%s" is not valid.","Gift Card "%s" is not valid."
"Unable to refund card ""%s"" due to it\'s removal","Unable to refund card ""%s"" due to it\'s removal"
"Unable to refund card ""%s"" due to it is already used","Unable to refund card "%s"" due to it is already used"
"Unable to refund card ""%s"" due to it is already out of balance","Unable to refund card ""%s"" due to it is already out of balance"
"Unable to refund card ""%s"" due to it is already expired","Unable to refund card ""%s"" due to it is already expired"
"Refunded","Refunded"
"Refund for order #%s.","Refund for order #%s."
"Gift Cards","Gift Cards"
"Set Active","Set Active"
"Actions","Actions"
"To","To"
"%s should be 0.01 or greater.","%s should be 0.01 or greater."
"This card has expired","This card has expired"
"The balance on this card is 0","The balance on this card is 0"
"This card has been refunded","This card has been refunded"
"Gift Card is not valid.","Gift Card is not valid."
"Check status and balance","Check status and balance"
"Card Type","Card Type"
"Wrong or expired Gift Card Code.","Wrong or expired Gift Card Code."
"Expires: %s","Expires: %s"
"Current Balance: %s","Current Balance: %s"
"Gift Card: %s","Gift Card: %s"
"Please wait, loading...","Please wait, loading..."
"Have a gift card? <a href='%s'>Click here</a> to check balance.","Have a gift card? <a href='%s'>Click here</a> to check balance."
"Enter gift card code","Enter gift card code"
"Check Gift Card","Check Gift Card"
"Gift Card "%s" has been redeemed to Store Credit.","Gift Card "%s" has been redeemed to Store Credit."
